id,county,state,concatenate,Estimate!!Total
0500000US36091,Saratoga,New York,SaratogaNew York,230163
0500000US36109,Tompkins,New York,TompkinsNew York,102793
0500000US36065,Oneida,New York,OneidaNew York,229577
0500000US36075,Oswego,New York,OswegoNew York,117898
0500000US39113,Montgomery,Ohio,MontgomeryOhio,532331
0500000US39023,Clark,Ohio,ClarkOhio,134585
0500000US39085,Lake,Ohio,LakeOhio,230514
0500000US39153,Summit,Ohio,SummitOhio,541918
0500000US39155,Trumbull,Ohio,TrumbullOhio,198627
0500000US39169,Wayne,Ohio,WayneOhio,115967
0500000US39093,Lorain,Ohio,LorainOhio,309461
0500000US39055,Geauga,Ohio,GeaugaOhio,94031
0500000US39081,Jefferson,Ohio,JeffersonOhio,65767
0500000US39061,Hamilton,Ohio,HamiltonOhio,816684
0500000US39095,Lucas,Ohio,LucasOhio,429899
0500000US39133,Portage,Ohio,PortageOhio,162927
0500000US39063,Hancock,Ohio,HancockOhio,75930
0500000US39151,Stark,Ohio,StarkOhio,371574
0500000US39109,Miami,Ohio,MiamiOhio,106222
0500000US39145,Scioto,Ohio,SciotoOhio,75502
0500000US39029,Columbiana,Ohio,ColumbianaOhio,102665
0500000US39119,Muskingum,Ohio,MuskingumOhio,86183
0500000US39035,Cuyahoga,Ohio,CuyahogaOhio,1243857
0500000US39165,Warren,Ohio,WarrenOhio,232173
0500000US39141,Ross,Ohio,RossOhio,76931
0500000US39057,Greene,Ohio,GreeneOhio,167995
0500000US39139,Richland,Ohio,RichlandOhio,121099
0500000US39049,Franklin,Ohio,FranklinOhio,1310300
0500000US39157,Tuscarawas,Ohio,TuscarawasOhio,92176
0500000US39017,Butler,Ohio,ButlerOhio,382378
0500000US39101,Marion,Ohio,MarionOhio,65256
0500000US39173,Wood,Ohio,WoodOhio,130696
0500000US39007,Ashtabula,Ohio,AshtabulaOhio,97493
0500000US39013,Belmont,Ohio,BelmontOhio,67505
0500000US39009,Athens,Ohio,AthensOhio,65818
0500000US39099,Mahoning,Ohio,MahoningOhio,229642
0500000US39045,Fairfield,Ohio,FairfieldOhio,155782
0500000US39089,Licking,Ohio,LickingOhio,175769
0500000US39025,Clermont,Ohio,ClermontOhio,205466
0500000US39041,Delaware,Ohio,DelawareOhio,204826
0500000US39103,Medina,Ohio,MedinaOhio,179146
0500000US39003,Allen,Ohio,AllenOhio,102663
0500000US39043,Erie,Ohio,ErieOhio,74615
0500000US42091,Montgomery,Pennsylvania,MontgomeryPennsylvania,828604
0500000US42051,Fayette,Pennsylvania,FayettePennsylvania,130441
0500000US42001,Adams,Pennsylvania,AdamsPennsylvania,102811
0500000US42041,Cumberland,Pennsylvania,CumberlandPennsylvania,251423
0500000US42021,Cambria,Pennsylvania,CambriaPennsylvania,131730
0500000US42049,Erie,Pennsylvania,EriePennsylvania,272061
0500000US42133,York,Pennsylvania,YorkPennsylvania,448273
0500000US42005,Armstrong,Pennsylvania,ArmstrongPennsylvania,65263
0500000US42045,Delaware,Pennsylvania,DelawarePennsylvania,564751
0500000US42095,Northampton,Pennsylvania,NorthamptonPennsylvania,304807
0500000US42029,Chester,Pennsylvania,ChesterPennsylvania,522046
0500000US42101,Philadelphia,Pennsylvania,PhiladelphiaPennsylvania,1584138
0500000US42007,Beaver,Pennsylvania,BeaverPennsylvania,164742
0500000US42037,Columbia,Pennsylvania,ColumbiaPennsylvania,65456
0500000US42071,Lancaster,Pennsylvania,LancasterPennsylvania,543557
0500000US42129,Westmoreland,Pennsylvania,WestmorelandPennsylvania,350611
0500000US42027,Centre,Pennsylvania,CentrePennsylvania,162805
0500000US42055,Franklin,Pennsylvania,FranklinPennsylvania,154835
0500000US42097,Northumberland,Pennsylvania,NorthumberlandPennsylvania,91083
0500000US42081,Lycoming,Pennsylvania,LycomingPennsylvania,113664
0500000US42073,Lawrence,Pennsylvania,LawrencePennsylvania,86184
0500000US42003,Allegheny,Pennsylvania,AlleghenyPennsylvania,1218452
0500000US42017,Bucks,Pennsylvania,BucksPennsylvania,628195
0500000US42085,Mercer,Pennsylvania,MercerPennsylvania,110683
0500000US42111,Somerset,Pennsylvania,SomersetPennsylvania,73952
0500000US42077,Lehigh,Pennsylvania,LehighPennsylvania,368100
0500000US42107,Schuylkill,Pennsylvania,SchuylkillPennsylvania,142067
0500000US42125,Washington,Pennsylvania,WashingtonPennsylvania,207346
0500000US42063,Indiana,Pennsylvania,IndianaPennsylvania,84501
0500000US42033,Clearfield,Pennsylvania,ClearfieldPennsylvania,79388
0500000US42025,Carbon,Pennsylvania,CarbonPennsylvania,64227
0500000US42069,Lackawanna,Pennsylvania,LackawannaPennsylvania,210793
0500000US42011,Berks,Pennsylvania,BerksPennsylvania,420152
0500000US42043,Dauphin,Pennsylvania,DauphinPennsylvania,277097
0500000US42089,Monroe,Pennsylvania,MonroePennsylvania,169507
0500000US42013,Blair,Pennsylvania,BlairPennsylvania,122492
0500000US42039,Crawford,Pennsylvania,CrawfordPennsylvania,85063
0500000US42019,Butler,Pennsylvania,ButlerPennsylvania,187888
0500000US42079,Luzerne,Pennsylvania,LuzernePennsylvania,317646
0500000US42075,Lebanon,Pennsylvania,LebanonPennsylvania,141314
