id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US12097,Osceola,Florida,OsceolaFlorida,367990,179155,188835,23336,24289,26498,26974,24345,26167,25534,31591,22368,25885,23200,18763,20613,18641,11435,8867,4682,4802
0500000US12023,Columbia,Florida,ColumbiaFlorida,70503,35555,34948,4328,5326,3383,4324,3852,4416,3598,5155,4510,4579,4041,4882,5131,3714,3719,2610,1307,1628
0500000US12033,Escambia,Florida,EscambiaFlorida,315534,156997,158537,18797,15378,21583,21420,24660,24832,20719,17946,18305,17156,18752,21285,21705,17158,13663,8840,7233,6102
0500000US12113,Santa Rosa,Florida,Santa RosaFlorida,179349,91848,87501,10018,10671,11707,10594,10532,13183,11210,11659,12073,12112,11985,10988,14201,9134,8235,6008,2925,2114
0500000US12073,Leon,Florida,LeonFlorida,292502,138408,154094,15195,14832,15447,26021,45668,24650,17936,17579,14917,14722,14390,15406,16825,14318,9900,7285,3717,3694
0500000US12103,Pinellas,Florida,PinellasFlorida,975280,467767,507513,42405,46244,41640,43700,47203,61886,56730,54281,52574,61209,69053,77027,79480,70942,59145,43240,33474,35047
0500000US12083,Marion,Florida,MarionFlorida,359977,171353,188624,17346,18358,18735,20504,17332,18733,16981,17788,17863,20380,21386,25523,25024,27803,27931,23858,12277,12155
0500000US12091,Okaloosa,Florida,OkaloosaFlorida,207269,104314,102955,13849,11846,14495,11176,13697,16920,15326,14517,10348,11304,12669,14826,12191,10903,9818,5921,4835,2628
0500000US12117,Seminole,Florida,SeminoleFlorida,467832,225955,241877,24699,25682,29961,28311,28377,34665,33226,33548,31948,32813,31254,30266,30348,22325,20497,12303,9117,8492
0500000US12035,Flagler,Florida,FlaglerFlorida,112067,53523,58544,4342,5084,6003,6099,4146,5577,5098,6811,3678,6141,6898,8963,7883,9160,9955,7028,4297,4904
0500000US12061,Indian River,Florida,Indian RiverFlorida,157413,76541,80872,7894,7637,6219,6834,5165,7623,6151,7614,7362,8319,9214,9883,16114,13886,13374,10603,6403,7118
