id,county,state,concatenate,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone
0500000US34011,Cumberland,New Jersey,CumberlandNew Jersey,98342,29550,793,2659,0,14501
0500000US34039,Union,New Jersey,UnionNew Jersey,296375,119389,3687,31093,0,93810
0500000US34027,Morris,New Jersey,MorrisNew Jersey,403898,17669,833,51943,140,7460
0500000US34003,Bergen,New Jersey,BergenNew Jersey,665583,55416,2941,155916,235,28553
0500000US34041,Warren,New Jersey,WarrenNew Jersey,91932,4847,205,2525,0,2872
0500000US36059,Nassau,New York,NassauNew York,918655,162245,6223,135709,1093,97518
0500000US36071,Orange,New York,OrangeNew York,279314,43050,797,10935,403,31422
0500000US36087,Rockland,New York,RocklandNew York,233051,38958,377,19660,0,23189
0500000US36069,Ontario,New York,OntarioNew York,101177,2638,230,1317,0,2118
0500000US36015,Chemung,New York,ChemungNew York,74324,4999,15,1174,0,501
0500000US36045,Jefferson,New York,JeffersonNew York,95447,6760,250,1516,217,2144
0500000US36029,Erie,New York,ErieNew York,711887,121796,4117,34361,22,22467
0500000US36111,Ulster,New York,UlsterNew York,149143,10718,503,3026,0,5113
0500000US36119,Westchester,New York,WestchesterNew York,610737,143734,2677,58946,223,121999
0500000US36113,Warren,New York,WarrenNew York,null,null,null,null,null,null
0500000US36063,Niagara,New York,NiagaraNew York,183349,15579,1496,2791,0,1587
0500000US36079,Putnam,New York,PutnamNew York,83229,3496,164,1949,0,8379
0500000US36051,Livingston,New York,LivingstonNew York,58876,2109,180,515,0,314
0500000US36103,Suffolk,New York,SuffolkNew York,1206349,116010,5501,59485,232,57155
0500000US36011,Cayuga,New York,CayugaNew York,71045,3506,132,580,0,529
0500000US36047,Kings,New York,KingsNew York,1125773,827041,7200,300232,1370,226874
0500000US36067,Onondaga,New York,OnondagaNew York,367730,55880,3251,15963,74,3690
0500000US36001,Albany,New York,AlbanyNew York,228964,39649,282,21496,834,2771
0500000US36053,Madison,New York,MadisonNew York,66512,1211,62,1485,0,659
0500000US36081,Queens,New York,QueensNew York,848180,419389,10219,588677,822,325379
0500000US36117,Wayne,New York,WayneNew York,84119,2042,7,640,0,886
0500000US36005,Bronx,New York,BronxNew York,321890,509310,8717,54467,1945,473965
0500000US36089,St. Lawrence,New York,St. LawrenceNew York,99965,3066,841,1028,262,1470
0500000US36085,Richmond,New York,RichmondNew York,347986,47098,451,48714,197,19649
0500000US36093,Schenectady,New York,SchenectadyNew York,118937,15413,1502,7111,220,4065
0500000US36009,Cattaraugus,New York,CattaraugusNew York,70431,1018,2539,481,0,589
0500000US36055,Monroe,New York,MonroeNew York,560874,112272,3122,28479,171,15041
0500000US36105,Sullivan,New York,SullivanNew York,61078,6663,312,1321,0,3860
0500000US36007,Broome,New York,BroomeNew York,163081,10809,591,9341,99,3346
0500000US36027,Dutchess,New York,DutchessNew York,229184,32319,1017,9867,23,10400
0500000US36101,Steuben,New York,SteubenNew York,90696,1347,37,1564,0,507
0500000US36083,Rensselaer,New York,RensselaerNew York,136797,10611,192,4342,0,1114
0500000US36013,Chautauqua,New York,ChautauquaNew York,116291,3434,394,716,157,4427
0500000US36019,Clinton,New York,ClintonNew York,73115,3605,54,962,0,2439
0500000US36061,New York,New York,New YorkNew York,904573,236356,12359,200213,916,193696
0500000US36091,Saratoga,New York,SaratogaNew York,212657,4948,554,6005,0,1697
0500000US36109,Tompkins,New York,TompkinsNew York,81512,4703,196,10518,0,2601
0500000US36065,Oneida,New York,OneidaNew York,195773,15517,580,9806,0,2982
0500000US36075,Oswego,New York,OswegoNew York,112120,1609,158,971,31,667
0500000US39113,Montgomery,Ohio,MontgomeryOhio,386743,108345,1576,12140,414,4009
0500000US39023,Clark,Ohio,ClarkOhio,117175,11167,126,726,0,405
0500000US39085,Lake,Ohio,LakeOhio,208276,10504,133,2941,147,3229
0500000US39153,Summit,Ohio,SummitOhio,422487,77677,1337,20151,0,4417
0500000US39155,Trumbull,Ohio,TrumbullOhio,176212,16382,132,1564,0,201
0500000US39169,Wayne,Ohio,WayneOhio,110011,3167,91,241,0,819
0500000US39093,Lorain,Ohio,LorainOhio,265593,25734,1071,3396,75,3331
0500000US39055,Geauga,Ohio,GeaugaOhio,91037,1211,188,674,0,238
0500000US39081,Jefferson,Ohio,JeffersonOhio,60032,3163,44,1119,0,390
0500000US39061,Hamilton,Ohio,HamiltonOhio,547335,208138,909,24334,1279,7520
0500000US39095,Lucas,Ohio,LucasOhio,306634,80289,1367,6707,457,9941
0500000US39133,Portage,Ohio,PortageOhio,148176,7006,0,3330,45,246
0500000US39063,Hancock,Ohio,HancockOhio,69877,1198,0,1384,0,1275
0500000US39151,Stark,Ohio,StarkOhio,323782,27636,630,3951,0,4341
0500000US39109,Miami,Ohio,MiamiOhio,99547,1402,341,1846,0,38
0500000US39145,Scioto,Ohio,SciotoOhio,null,null,null,null,null,null
0500000US39029,Columbiana,Ohio,ColumbianaOhio,null,null,null,null,null,null
0500000US39119,Muskingum,Ohio,MuskingumOhio,78837,3667,157,222,0,89
0500000US39035,Cuyahoga,Ohio,CuyahogaOhio,778016,363507,3432,38700,605,15384
0500000US39165,Warren,Ohio,WarrenOhio,204965,8559,443,13920,0,361
0500000US39141,Ross,Ohio,RossOhio,69435,4446,0,512,47,234
0500000US39057,Greene,Ohio,GreeneOhio,143377,13007,154,4888,0,690
0500000US39139,Richland,Ohio,RichlandOhio,105522,10266,290,1033,60,343
0500000US39049,Franklin,Ohio,FranklinOhio,857827,298151,3351,72084,68,24186
0500000US39157,Tuscarawas,Ohio,TuscarawasOhio,null,null,null,null,null,null
0500000US39017,Butler,Ohio,ButlerOhio,318592,31642,781,13085,0,6419
0500000US39101,Marion,Ohio,MarionOhio,58259,3627,239,459,74,358
0500000US39173,Wood,Ohio,WoodOhio,119500,3594,293,2210,45,1506
0500000US39007,Ashtabula,Ohio,AshtabulaOhio,null,null,null,null,null,null
0500000US39013,Belmont,Ohio,BelmontOhio,62729,1916,107,571,0,177
0500000US39009,Athens,Ohio,AthensOhio,59700,1864,231,1699,86,111
0500000US39099,Mahoning,Ohio,MahoningOhio,181135,32943,604,2206,37,3033
0500000US39045,Fairfield,Ohio,FairfieldOhio,135804,10941,0,1983,0,275
0500000US39089,Licking,Ohio,LickingOhio,159316,7207,313,3682,76,1069
0500000US39025,Clermont,Ohio,ClermontOhio,194656,2624,55,2237,0,737
0500000US39041,Delaware,Ohio,DelawareOhio,176818,6806,319,12823,0,1152
0500000US39103,Medina,Ohio,MedinaOhio,170228,2575,104,1885,0,784
0500000US39003,Allen,Ohio,AllenOhio,84580,11915,359,850,0,1145
0500000US39043,Erie,Ohio,ErieOhio,63801,7328,723,46,25,833
0500000US42091,Montgomery,Pennsylvania,MontgomeryPennsylvania,650976,75819,627,65612,299,12816
0500000US42051,Fayette,Pennsylvania,FayettePennsylvania,120140,5484,182,611,0,642
